"PIC","Role","NameInLatinCharacterSet","OrganisationType","City","CountryRegionDescription","CountryDescription","ProjectCode","ActionType","ActionTypeDescription","CallYear","ProjectTitle","Acronym","DurationInMonths","Status","ProjectStartDate","ProjectEndDate","Initial awarded grant(IAG)","Topics","TopicDescriptions"
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2015-1-FI01-KA107-008928","KA107","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility between Programme and Partner Countries",,26,"Finalised",01.06.15,31.07.17,"206 637,00 €",,
"E10181958","APP","AALTO KORKEAKOULUSÄÄTIÖ SR","Higher education institution (tertiary level)","Espoo","Helsinki-Uusimaa","Finland","2015-2-FI01-KA107-022156","KA107","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility between Programme and Partner Countries",,18,"Finalised",01.02.16,31.07.17,"82 916,00 €",,
"E10206303","APP","Äänekosken ammatillisen koulutuksen kuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Äänekoski","Keski-Suomi","Finland","2019-1-FI01-KA102-060472","KA102","VET learner and staff mobility",2019,"POKE On The Go - Working and Learning in Europe",,36,"Follow-up",01.06.19,31.05.22,"99 444,00 €","TOPIC-20_TOPIC-19","Globaali yhteistyö_Interkulttuurinen koulutus"
"E10206303","APP","Äänekosken ammatillisen koulutuksen kuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Äänekoski","Keski-Suomi","Finland","2017-1-FI01-KA102-034660","KA102","VET learner and staff mobility",2017,"POKE international","POKE international",24,"Finalised",01.07.17,30.06.19,"93 828,00 €","TOPIC-20","Globaali yhteistyö"
"E10206303","APP","Äänekosken ammatillisen koulutuksen kuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Äänekoski","Keski-Suomi","Finland","2015-1-FI01-KA102-008914","KA102","VET learner and staff mobility",2015,"POKE - FROM 62° TO THE TOP",,24,"Finalised",01.06.15,31.05.17,"48 730,00 €","TOPIC-28_TOPIC-19_TOPIC-20","Laadunhallinta_Interkulttuurinen koulutus_Globaali yhteistyö"
"E10058270","APP","Äänekosken kaupunki","Local Public body","Äänekoski","Keski-Suomi","Finland","2019-2-FI01-KA105-061002","KA105","Youth mobility",2019,"Young and free",,9,"Finalised",01.08.19,30.04.20,"24 525,00 €","TOPIC-4_TOPIC-38","Kulttuuri ja luovuus_Nuorisoala"
"E10058270","APP","Äänekosken kaupunki","Local Public body","Äänekoski","Keski-Suomi","Finland","2017-2-FI01-KA105-034848","KA105","Youth mobility",2017,"Luonnolliset taitajat",,6,"Finalised",01.08.17,31.01.18,"16 531,00 €","TOPIC-16_TOPIC-13_TOPIC-4","Terveys ja hyvinvointi_Kestävä kehitys_Kulttuuri ja luovuus"
"E10058270","APP","Äänekosken kaupunki","Local Public body","Äänekoski","Keski-Suomi","Finland","2015-3-FI01-KA105-022171","KA105","Youth mobility",2015,"Sport and leisure time Äänekoski","Sport and leisure time Äänekoski",24,"Finalised",01.01.16,31.12.17,"27 071,00 €","TOPIC-38","Nuorisoala"
"E10058270","APP","Äänekosken kaupunki","Local Public body","Äänekoski","Keski-Suomi","Finland","2015-3-FI01-KA105-022184","KA105","Youth mobility",2015,"Young Travellers - Equity",,9,"Finalised",01.03.16,30.11.16,"25 112,00 €","TOPIC-18_TOPIC-4_TOPIC-38","Tasa-arvo ja osallisuus_Kulttuuri ja luovuus_Nuorisoala"
"E10058270","APP","Äänekosken kaupunki","Local Public body","Äänekoski","Keski-Suomi","Finland","2014-3-FI01-KA105-008506","KA105","Youth mobility",2014,"EVS Äänekoski","EVS Äänekoski",12,"Finalised",02.02.15,01.02.16,"18 500,00 €","TOPIC-20_TOPIC-38_TOPIC-4","Globaali yhteistyö_Nuorisoala_Kulttuuri ja luovuus"
"E10058270","APP","Äänekosken kaupunki","Local Public body","Äänekoski","Keski-Suomi","Finland","2014-2-FI01-KA105-000830","KA105","Youth mobility",2014,"EVS Äänekoski","EVS Äänekoski",14,"Finalised",01.07.14,31.08.15,"29 170,00 €","TOPIC-4_TOPIC-38_TOPIC-20","Kulttuuri ja luovuus_Nuorisoala_Globaali yhteistyö"
"E10160651","PA","Äänekosken lukio","School/Institute/Educational centre – General education (secondary level)","Äänekoski","Keski-Suomi","Finland","2016-1-TR01-KA219-033862_8","KA219","Strategic Partnerships for Schools Only",2016,"EUROPE AS A WORKSPACE","EAW",24,"Finalised",01.09.16,31.08.18,22360,"TOPIC-10_TOPIC-23_TOPIC-24","Osaaminen ja työelämän tarpeet_Koulutuksen kehittäminen"
"E10160651","PA","Äänekosken lukio","School/Institute/Educational centre – General education (secondary level)","Äänekoski","Keski-Suomi","Finland","2018-1-SE01-KA229-039100_2","KA229","School Exchange Partnerships",2018,"Face the Challenge - Europe",,24,"Finalised",01.09.18,31.08.20,28698,"TOPIC-2_TOPIC-23_TOPIC-4","Aktiivinen kansalaisuus_Koulutuksen kehittäminen_Kulttuuri ja luovuus"
"E10165077","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION (ASDA) RY","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2019-3-FI01-KA105-065954","KA105","Youth mobility",2019,"European Solidarity Corps: Open the Windows to New Opportunities","ESC:OWNO",20,"Follow-up",01.02.20,30.09.21,"23 495,00 €","TOPIC-18_TOPIC-38_TOPIC-69","Tasa-arvo ja osallisuus_Nuorisoala_Aktiivinen kansalaisuus"
"E10165077","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION (ASDA) RY","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2016-3-FI01-KA105-034209","KA105","Youth mobility",2016,"Xpressions",,7,"Finalised",01.02.17,31.08.17,"11 620,00 €","TOPIC-38_TOPIC-3_TOPIC-9","Nuorisoala_Digitaalisuus_Yhteiskunnallinen vuoropuhelu"
"E10165077","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION (ASDA) RY","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2015-3-FI01-KA105-022198","KA105","Youth mobility",2015,"Think Globally!","-",5,"Finalised",04.01.16,03.06.16,"19 590,00 €","TOPIC-38_TOPIC-20_TOPIC-3","Nuorisoala_Globaali yhteistyö_Digitaalisuus"
"E10165077","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION (ASDA) RY","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2020-1-FI01-KA204-066469","KA204","Strategic Partnerships for adult education",2020,"Second Generation of European Migrants","2GEM",24,"Follow-up",01.11.20,31.10.22,"249 683,00 €","TOPIC-18_TOPIC-55_TOPIC-23","Tasa-arvo ja osallisuus_Maahanmuutto ja kotoutuminen_Koulutuksen kehittäminen"
"E10165077","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION (ASDA) RY","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2019-1-FI01-KA204-060872","KA204","Strategic Partnerships for adult education",2019,"Helping migrants to integrate in work environments","HelpMi",24,"Follow-up",01.09.19,31.08.21,"168 458,00 €","TOPIC-10_TOPIC-55_TOPIC-59","Osaaminen ja työelämän tarpeet_Maahanmuutto ja kotoutuminen"
"E10165077","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION (ASDA) RY","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2015-2-FI01-KA347-009167","KA347","Dialogue between young people and policy makers",2015,"The path to fair balance of participation: Invisible Young People Count!","InYoPeC",14,"Finalised",01.08.15,30.09.16,"24 854,00 €","TOPIC-29_TOPIC-38_TOPIC-10","Nuorisoala_Osaaminen ja työelämän tarpeet"
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2020-1-FI01-KA103-065992","KA103","Higher education student and staff mobility within programme countries",2020,"Higher education student and staff mobility within programme countries",,24,"Follow-up",01.06.20,31.05.22,"177 975,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2019-1-FI01-KA103-060393","KA103","Higher education student and staff mobility within programme countries",2019,"Higher education student and staff mobility within programme countries",,24,"Follow-up",01.06.19,31.05.21,"214 060,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2018-1-FI01-KA103-046823","KA103","Higher education student and staff mobility within programme countries",2018,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.18,30.09.19,"197 275,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2017-1-FI01-KA103-034329","KA103","Higher education student and staff mobility within programme countries",2017,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.17,30.09.18,"199 045,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2016-1-FI01-KA103-022271","KA103","Higher education student and staff mobility within programme countries",2016,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.16,30.09.17,"162 745,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2015-1-FI01-KA103-008766","KA103","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.15,30.09.16,"136 735,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2014-1-FI01-KA103-000115","KA103","Higher education student and staff mobility within programme countries",2014,"Higher education student and staff mobility",,16,"Finalised",01.06.14,30.09.15,"115 925,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2020-1-FI01-KA107-066094","KA107","Higher education student and staff mobility within programme countries",2020,"Higher education student and staff mobility between Programme and Partner Countries",,36,"Follow-up",01.08.20,31.07.23,"122 065,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2019-1-FI01-KA107-060390","KA107","Higher education student and staff mobility within programme countries",2019,"Higher education student and staff mobility between Programme and Partner Countries",,24,"Follow-up",01.08.19,31.07.21,"46 622,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2018-1-FI01-KA107-046881","KA107","Higher education student and staff mobility within programme countries",2018,"Higher education student and staff mobility between Programme and Partner Countries",,38,"Follow-up",01.06.18,31.07.21,"95 058,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2016-1-FI01-KA107-022338","KA107","Higher education student and staff mobility within programme countries",2016,"Higher education student and staff mobility between Programme and Partner Countries",,26,"Finalised",01.06.16,31.07.18,"48 560,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2016-2-FI01-KA107-034193","KA107","Higher education student and staff mobility within programme countries",2016,"Higher education student and staff mobility between Programme and Partner Countries",,18,"Finalised",01.02.17,31.07.18,"31 530,00 €",,
"E10166177","APP","AB YRKESHÖGSKOLAN VID ÅBO AKADEMI","Higher education institution (tertiary level)","Vaasa","Pohjanmaa","Finland","2015-1-FI01-KA107-008826","KA107","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility between Programme and Partner Countries",,26,"Finalised",01.06.15,31.07.17,"29 080,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2014-1-FI01-KA103-000059","KA103","Higher education student and staff mobility within programme countries",2014,"Higher education student and staff mobility",,16,"Finalised",01.06.14,30.09.15,"141 325,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2020-1-FI01-KA103-066156","KA103","Higher education student and staff mobility within programme countries",2020,"Higher education student and staff mobility within programme countries",,24,"Follow-up",01.06.20,31.05.22,"254 890,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2019-1-FI01-KA103-060309","KA103","Higher education student and staff mobility within programme countries",2019,"Higher education student and staff mobility within programme countries",,24,"Follow-up",01.06.19,31.05.21,"242 575,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2018-1-FI01-KA103-046747","KA103","Higher education student and staff mobility within programme countries",2018,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.18,30.09.19,"208 375,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2017-1-FI01-KA103-034363","KA103","Higher education student and staff mobility within programme countries",2017,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.17,30.09.18,"175 140,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2016-1-FI01-KA103-022411","KA103","Higher education student and staff mobility within programme countries",2016,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.16,30.09.17,"136 805,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2015-1-FI01-KA103-008679","KA103","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility within programme countries",,16,"Finalised",01.06.15,30.09.16,"138 535,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2017-1-FI01-KA107-034440","KA107","Higher education student and staff mobility within programme countries",2017,"Higher education student and staff mobility between Programme and Partner Countries",,26,"Finalised",01.06.17,31.07.19,"116 897,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2015-2-FI01-KA107-022151","KA107","Higher education student and staff mobility within programme countries",2015,"Higher education student and staff mobility between Programme and Partner Countries",,18,"Finalised",01.02.16,31.07.17,"47 519,00 €",,
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2020-1-FI01-KA203-066490","KA203","Strategic Partnerships for higher education",2020,"INCLUSION THROUGH MEDIATION","INCLUDE ME",24,"Follow-up",01.11.20,31.10.22,"240 341,00 €","TOPIC-18_TOPIC-23_TOPIC-6","Tasa-arvo ja osallisuus_Koulutuksen kehittäminen"
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2020-1-FI01-KA203-066572","KA203","Strategic Partnerships for higher education",2020,"Designing and supporting inclusive practices in Higher Education","InclusiveHE",24,"Follow-up",01.12.20,30.11.22,"252 660,00 €","TOPIC-15_TOPIC-19_TOPIC-18","Tasa-arvo ja osallisuus_Interkulttuurinen koulutus"
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2014-1-FI01-KA104-000468","KA104","Adult education staff mobility",2014,"CLL in Europe",,24,"Finalised",01.07.14,30.06.16,"11 054,00 €","TOPIC-23_TOPIC-25_TOPIC-3","Koulutuksen kehittäminen_Opetusmenetelmät_Digitaalisuus"
"E10209161","APP","Åbo Akademi","School/Institute/Educational centre – Adult education","Turku","Varsinais-Suomi","Finland","2020-1-FI01-KA104-066443","KA104","Adult education staff mobility",2020,"Future Skills","FutS",36,"Follow-up",01.06.20,31.05.23,"29 967,00 €","TOPIC-23_TOPIC-25_TOPIC-72","Koulutuksen kehittäminen_Opetusmenetelmät_Työelämäyhteistyö"
"E10209161","APP","Åbo Akademi","School/Institute/Educational centre – Adult education","Turku","Varsinais-Suomi","Finland","2018-1-FI01-KA104-047049","KA104","Adult education staff mobility",2018,"Kvalitet och kunnande",,36,"Follow-up",01.09.18,31.08.21,"26 703,00 €","TOPIC-23_TOPIC-13_TOPIC-25","Koulutuksen kehittäminen_Kestävä kehitys_Opetusmenetelmät"
"E10209161","APP","Åbo Akademi","School/Institute/Educational centre – Adult education","Turku","Varsinais-Suomi","Finland","2015-1-FI01-KA104-008924","KA104","Adult education staff mobility",2015,"CLL Europe",,12,"Finalised",01.06.15,31.05.16,"7 860,00 €","TOPIC-4_TOPIC-13_TOPIC-25","Kulttuuri ja luovuus_Kestävä kehitys_Opetusmenetelmät"
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2014-1-FI01-KA200-000831","KA200","Strategic Partnerships addressing more than one field",2014,"Reusable learning objects in education","RELOBIE",24,"Finalised",01.09.14,31.08.16,"80 970,00 €","TOPIC-39_TOPIC-3_TOPIC-23","Digitaalisuus_Koulutuksen kehittäminen"
"E10209161","APP","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2016-1-FI01-KA204-022757","KA204","Strategic Partnerships for adult education",2016,"Playful Learning Experience - Enhancing adult education and learning environments with digital media","PLAY&LEARN DIGIMEDIA",33,"Finalised",01.09.16,31.05.19,"247 545,00 €","TOPIC-23_TOPIC-3_TOPIC-25","Koulutuksen kehittäminen_Digitaalisuus_Opetusmenetelmät"
"E10209161","PA","Åbo Akademi","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","2015-1-NO01-KA219-013220_6","KA219","Strategic Partnerships for Schools Only",2015,"The City Rings",,24,"Finalised",01.09.15,31.08.17,10965,"TOPIC-16_TOPIC-3_TOPIC-4","Terveys ja hyvinvointi_Digitaalisuus_Kulttuuri ja luovuus"
"E10047912","APP","Åbolands Ungdomsförbund ÅUF r.f.","Non-governmental organisation/association","Parainen","Varsinais-Suomi","Finland","2019-2-FI01-KA105-060949","KA105","Youth mobility",2019,"Sexess",,24,"Follow-up",01.08.19,31.07.21,"21 782,00 €","TOPIC-15_TOPIC-16","Tasa-arvo ja osallisuus_Terveys ja hyvinvointi"
"E10094011","APP","ADRA Finland Foundation","Foundation","Tampere","Pirkanmaa","Finland","2015-1-FI01-KA105-008645","KA105","Youth mobility",2015,"Let me show you a key to success","LMSYKTS",5,"Finalised",01.05.15,30.09.15,"21 209,00 €","TOPIC-23_TOPIC-38","Koulutuksen kehittäminen_Nuorisoala"
"E10237719","APP","AEL-AMIEDU OY","School/Institute/Educational centre – Vocational Training (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","2018-1-FI01-KA102-047023","KA102","VET learner and staff mobility",2018,"Effective Mobility III - Innovative Competence Partnerships","Effective Mobility III",36,"Follow-up",01.06.18,31.05.21,"149 472,00 €","TOPIC-4_TOPIC-72_TOPIC-69","Kulttuuri ja luovuus_Työelämäyhteistyö_Aktiivinen kansalaisuus"
"E10237719","APP","AEL-AMIEDU OY","School/Institute/Educational centre – Vocational Training (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","2020-1-FI01-KA116-066415","KA116","VET learner and staff mobility with VET mobility charter",2020,"VET learner and staff mobility with VET mobility charter","Effective Mobility IV",24,"Follow-up",01.08.20,31.07.22,"130 433,00 €",,
"E10202286","APP","AFS Intercultural Programs Finland ry","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2019-1-FI01-KA104-060499","KA104","Adult education staff mobility",2019,"Tuliaisia Euroopasta – Varjostushanke osallisuuden, dialogin ja yhteistyön edistämiseksi",,24,"Follow-up",31.12.19,30.12.21,"11 874,00 €","TOPIC-19_TOPIC-20","Interkulttuurinen koulutus_Globaali yhteistyö"
"E10202286","APP","AFS Intercultural Programs Finland ry","Non-Profit making cultural organizations","Helsinki","Helsinki-Uusimaa","Finland","2014-1-FI01-KA104-000226","KA104","Adult education staff mobility",2014,"WARJO - Working Abroad to Reinforce Joint Organisations",,24,"Finalised",01.10.14,30.09.16,"9 888,00 €","TOPIC-20_TOPIC-19","Globaali yhteistyö_Interkulttuurinen koulutus"
"E10202286","APP","AFS Intercultural Programs Finland ry","Non-governmental organisation/association","Helsinki","Helsinki-Uusimaa","Finland","2016-3-FI01-KA105-034268","KA105","Youth mobility",2016,"Quality youth work: from local to European level","VQUA",8,"Finalised",01.02.17,30.09.17,"29 402,00 €","TOPIC-38_TOPIC-19","Nuorisoala_Interkulttuurinen koulutus"
"E10034089","APP","Ahlmanin koulun säätiö","School/Institute/Educational centre – Vocational Training (secondary level)","Tampere","Pirkanmaa","Finland","2019-1-FI01-KA102-060403","KA102","VET learner and staff mobility",2019,"Cross cultural and professional skills III",,36,"Follow-up",01.06.19,31.05.22,"153 843,00 €","TOPIC-72","Työelämäyhteistyö"
"E10034089","APP","Ahlmanin koulun säätiö","School/Institute/Educational centre – Vocational Training (secondary level)","Tampere","Pirkanmaa","Finland","2015-1-FI01-KA102-008878","KA102","VET learner and staff mobility",2015,"Cross cultural and professional skills",,24,"Finalised",01.06.15,31.05.17,"47 004,00 €","TOPIC-20","Globaali yhteistyö"
"E10034089","APP","Ahlmanin koulun säätiö","School/Institute/Educational centre – Vocational Training (secondary level)","Tampere","Pirkanmaa","Finland","2017-1-FI01-KA102-034489","KA102","VET learner and staff mobility",2017,"Cross cultural and professional skills II",,24,"Finalised",01.06.17,31.05.19,"66 666,00 €","TOPIC-19_TOPIC-41_TOPIC-20","Interkulttuurinen koulutus_Yrittäjyys_Globaali yhteistyö"
"E10004151","APP","Ahmon koulu","School/Institute/Educational centre – General education (basic education)","Siilinjärvi","Pohjois-Savo","Finland","2018-1-FI01-KA101-047002","KA101","School education staff mobility",2018,"Mitä voimme oppia muilta - mitä muut voivat oppia meiltä?",,19,"Finalised",01.06.18,31.12.19,"5 976,00 €","TOPIC-23_TOPIC-20_TOPIC-25","Koulutuksen kehittäminen_Globaali yhteistyö_Opetusmenetelmät"
"E10004151","PA","Ahmon koulu","School/Institute/Educational centre – General education (basic education)","Siilinjärvi","Pohjois-Savo","Finland","2014-1-ES01-KA201-004981","KA201","Strategic Partnerships for school education",2014,"LESSONS FOR PRESENT, LESSONS FOR FUTURE.","LFP-LFF",36,"Finalised",01.09.14,31.08.17,29660,"TOPIC-2_TOPIC-25_TOPIC-7","Aktiivinen kansalaisuus_Opetusmenetelmät_Opintojen keskeyttämisen ehkäisy"
"E10004151","PA","Ahmon koulu","School/Institute/Educational centre – General education (basic education)","Siilinjärvi","Pohjois-Savo","Finland","2020-1-ES01-KA229-082338_3","KA229","School Exchange Partnerships",2020,"Healthy Heritage Tracks","H&H",24,"Follow-up",01.09.20,31.08.22,22280,"TOPIC-20_TOPIC-3_TOPIC-4","Globaali yhteistyö_Digitaalisuus_Kulttuuri ja luovuus"
"E10004151","APP","Ahmon koulu","School/Institute/Educational centre – General education (basic education)","Siilinjärvi","Pohjois-Savo","Finland","2020-1-FI01-KA229-066547_1","KA229","School Exchange Partnerships",2020,"We Love Bees","WLB",36,"Follow-up",01.12.20,30.11.23,35944,"TOPIC-13_TOPIC-19_TOPIC-4","Kestävä kehitys_Interkulttuurinen koulutus_Kulttuuri ja luovuus"
"E10004151","PA","Ahmon koulu","School/Institute/Educational centre – General education (basic education)","Siilinjärvi","Pohjois-Savo","Finland","2018-1-ES01-KA229-050111_6","KA229","School Exchange Partnerships",2018,"Movement Improves learning experience in Schools","MILES",30,"Follow-up",01.09.18,28.02.21,26715,"TOPIC-16_TOPIC-18_TOPIC-23","Terveys ja hyvinvointi_Tasa-arvo ja osallisuus_Koulutuksen kehittäminen"
"E10004151","PA","Ahmon koulu","School/Institute/Educational centre – General education (basic education)","Siilinjärvi","Pohjois-Savo","Finland","2018-1-PL01-KA229-050583_2","KA229","School Exchange Partnerships",2018,"Keep Calm and be Green","KCG",36,"Follow-up",01.09.18,31.08.21,20750,"TOPIC-11_TOPIC-7_TOPIC-70","Energia ja resurssit_Opintojen keskeyttämisen ehkäisy_Kulttuuriperintö"
