"ProjectCode","link","Role","NameInLatinCharacterSet","OrganisationType","City","CountryRegionDescription","CountryDescription","ActionType","ActionTypeDescription","CallYear","ProjectTitle","Acronym","DurationInMonths","Status","ProjectStartDate","ProjectEndDate","Initial awarded grant(IAG)","Topics","TopicDescriptions"
"2020-1-FI01-KA202-066523","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066523","APP","VANTAAN KAUPUNKI","School/Institute/Educational centre – Vocational Training (secondary level)","Vantaa",,"Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Tools to prevent racism and enhance multiculturalism in VET colleges",,24,"Contract Signing",31.12.20,30.12.22,87340,"TOPIC-59,TOPIC-19,TOPIC-9","Migrants' issues,Intercultural/intergenerational education and (lifelong)learning,Social dialogue"
"2020-1-FI01-KA202-066544","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066544","APP","Valkeakosken seudun koulutuskuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","VALKEAKOSKI","Pirkanmaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Students on the Move in Europe",,24,"Follow-up",01.12.20,30.11.22,57080,"TOPIC-16,TOPIC-73","Health and wellbeing,Social/environmental responsibility of educational institutions"
"2020-1-FI01-KA202-066555","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066555","APP","Kirkkopalvelut ry","School/Institute/Educational centre – Vocational Training (secondary level)","Järvenpää","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Toiminnalliset menetelmät opetuksessa ja terapiassa",,24,"Follow-up",01.09.20,31.08.22,126226,"TOPIC-32,TOPIC-101,TOPIC-23","Research and innovation,Early childhood education and care,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA202-066562","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066562","APP","Itä-Savon koulutuskuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Savonlinna","Etelä-Savo","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Forest Boost",,26,"Contract Signing",01.12.20,31.01.23,121105,"TOPIC-1","Agriculture, forestry and fisheries"
"2020-1-FI01-KA202-066596","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066596","APP","HAMEEN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","HAMEENLINNA",,"Finland","KA202","Strategic Partnerships for vocational education and training",2020,"NextSteps@TechVET","TechVET",36,"Follow-up",01.09.20,31.08.23,342374,"TOPIC-30,TOPIC-72,TOPIC-23","Recognition (non-formal and informal learning/credits),Cooperation between educational institutions and business,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA202-066604","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066604","APP","Luksia, Municipal Education and Training Consortium in Western Uusimaa","School/Institute/Educational centre – Vocational Training (secondary level)","Lohja","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"GLO-VET - making vocational education promote global responsibility and sustainable actions","GLO-VET",26,"Follow-up",01.09.20,31.10.22,84602,"TOPIC-13,TOPIC-73,TOPIC-23","Environment and climate change,Social/environmental responsibility of educational institutions,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA202-066627","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066627","APP","Perho Liiketalousopisto Oy","School/Institute/Educational centre – Vocational Training (secondary level)","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Value Europe – Creating an International Responsible Event for Local Community","Value Europe",27,"Follow-up",01.11.20,31.01.23,185836,"TOPIC-72,TOPIC-23,TOPIC-73","Cooperation between educational institutions and business,New innovative curricula/educational methods/development of training courses,Social/environmental responsibility of educational institutions"
"2020-1-FI01-KA202-066630","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066630","APP","Raision seudun koulutuskuntayhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Raisio","Varsinais-Suomi","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"European Voice of Tomorrow",,24,"Follow-up",01.09.20,31.08.22,141300,"TOPIC-72,TOPIC-41,TOPIC-21","Cooperation between educational institutions and business,Entrepreneurial learning - entrepreneurship education,Key Competences (incl. mathematics and literacy) - basic skills"
"2020-1-FI01-KA202-066632","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066632","APP","VAASAN KAUPUNKI","School/Institute/Educational centre – Vocational Training (secondary level)","VAASA","Pohjanmaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Train to Sustain - developing capacity to teach sustainability in VET","Train2Sustain",26,"Contract Signing",01.12.20,31.01.23,246560,"TOPIC-13,TOPIC-72,TOPIC-3","Environment and climate change,Cooperation between educational institutions and business,ICT - new technologies - digital competences"
"2020-1-FI01-KA202-066637","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066637","APP","Keski-Pohjanmaan koulutusyhtymä","School/Institute/Educational centre – Vocational Training (secondary level)","Kokkola","Keski-Pohjanmaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"DIME 2 - Digital Mentor of International Possibilities for Equine Studies","DIME 2",30,"Follow-up",01.09.20,28.02.23,92480,"TOPIC-28,TOPIC-20,TOPIC-15","Quality Improvement Institutions and/or methods (incl. school development),International cooperation, international relations, development cooperation,Gender equality / equal opportunities"
"2020-1-FI01-KA202-066663","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066663","APP","Invalidisäätiö","Foundation","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Juggle - Creative ways to develop key competences of lifelong learning","JUGGLE",26,"Follow-up",01.12.20,31.01.23,230044,"TOPIC-21,TOPIC-23,TOPIC-4","Key Competences (incl. mathematics and literacy) - basic skills,New innovative curricula/educational methods/development of training courses,Creativity and culture"
"2020-1-FI01-KA202-066664","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA202-066664","APP","Invalidisäätiö","Foundation","Helsinki","Helsinki-Uusimaa","Finland","KA202","Strategic Partnerships for vocational education and training",2020,"Creating support models for participation in future work life","Create future",24,"Follow-up",01.11.20,31.10.22,160336,"TOPIC-72,TOPIC-5,TOPIC-18","Cooperation between educational institutions and business,Disabilities - special needs,Inclusion - equity"
"2020-1-FI01-KA203-066457","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066457","APP","SATAKUNNAN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","PORI","Satakunta","Finland","KA203","Strategic Partnerships for higher education",2020,"Sector-specific skills development in Coastal and Maritime Tourism","SKILLS4CMT",32,"Follow-up",01.11.20,30.06.23,355497,"TOPIC-39,TOPIC-31,TOPIC-23","Open and distance learning,Regional dimension and cooperation,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA203-066477","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066477","APP","KARELIA AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","JOENSUU","Pohjois-Karjala","Finland","KA203","Strategic Partnerships for higher education",2020,"European Master on Active Ageing and Age Friendly Society","EMMA",36,"Follow-up",01.09.20,31.08.23,400847,"TOPIC-23,TOPIC-16,TOPIC-29","New innovative curricula/educational methods/development of training courses,Health and wellbeing,Reaching the policy level/dialogue with decision makers"
"2020-1-FI01-KA203-066490","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066490","APP","ABO AKADEMI","Higher education institution (tertiary level)","ABO",,"Finland","KA203","Strategic Partnerships for higher education",2020,"INCLUSION THROUGH MEDIATION","INCLUDE ME",24,"Follow-up",01.11.20,31.10.22,240341,"TOPIC-18,TOPIC-23,TOPIC-6","Inclusion - equity,New innovative curricula/educational methods/development of training courses,Access for disadvantaged"
"2020-1-FI01-KA203-066521","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066521","APP","TURUN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","TURKU","Varsinais-Suomi","Finland","KA203","Strategic Partnerships for higher education",2020,"Developing multi-professional Higher Education for promoting mental health and well-being at schools","Well@School",36,"Follow-up",01.09.20,31.08.23,304630,"TOPIC-18,TOPIC-39,TOPIC-16","Inclusion - equity,Open and distance learning,Health and wellbeing"
"2020-1-FI01-KA203-066522","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066522","APP","SEINAJOEN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","SEINAJOKI","Etelä-Pohjanmaa","Finland","KA203","Strategic Partnerships for higher education",2020,"Competence Development in Collaborative Industrial Internet of Things","Collaborative IoT",36,"Follow-up",01.09.20,31.08.23,286242,"TOPIC-3,TOPIC-20,TOPIC-23","ICT - new technologies - digital competences,International cooperation, international relations, development cooperation,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA203-066543","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066543","APP","LAUREA-AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","VANTAA","Helsinki-Uusimaa","Finland","KA203","Strategic Partnerships for higher education",2020,"froM Overtourism To Innovating Sustainable sOlutioNs in the EU","MOTION",36,"Follow-up",01.09.20,31.08.23,395767,"TOPIC-23,TOPIC-31,TOPIC-13","New innovative curricula/educational methods/development of training courses,Regional dimension and cooperation,Environment and climate change"
"2020-1-FI01-KA203-066571","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066571","APP","LAUREA-AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","VANTAA","Helsinki-Uusimaa","Finland","KA203","Strategic Partnerships for higher education",2020,"Tools for Inclusive Education","ToFIE",26,"Follow-up",01.10.20,30.11.22,264332,"TOPIC-23,TOPIC-25,TOPIC-18","New innovative curricula/educational methods/development of training courses,Pedagogy and didactics,Inclusion - equity"
"2020-1-FI01-KA203-066572","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066572","APP","ABO AKADEMI","Higher education institution (tertiary level)","ABO",,"Finland","KA203","Strategic Partnerships for higher education",2020,"Designing and supporting inclusive practices in Higher Education","InclusiveHE",24,"Follow-up",01.12.20,30.11.22,252660,"TOPIC-15,TOPIC-19,TOPIC-18","Gender equality / equal opportunities,Intercultural/intergenerational education and (lifelong)learning,Inclusion - equity"
"2020-1-FI01-KA203-066590","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066590","APP","TURUN YLIOPISTO","Higher education institution (tertiary level)","Turku","Varsinais-Suomi","Finland","KA203","Strategic Partnerships for higher education",2020,"A new agenda for nurse educator education in Europe","New Nurse Educator",36,"Follow-up",01.09.20,31.08.23,379733,"TOPIC-32,TOPIC-29,TOPIC-26","Research and innovation,Reaching the policy level/dialogue with decision makers,Quality and Relevance of Higher Education in Partner Countries"
"2020-1-FI01-KA203-066624","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066624","APP","VAASAN YLIOPISTO","Higher education institution (tertiary level)","VAASA",,"Finland","KA203","Strategic Partnerships for higher education",2020,"Cybersecurity Curricula Recommendations for Smart Grids","CC-RSG",30,"Follow-up",01.10.20,31.03.23,273935,"TOPIC-11,TOPIC-3,TOPIC-23","Energy and resources,ICT - new technologies - digital competences,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA203-066628","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066628","APP","TAMPEREEN KORKEAKOULUSAATIO SR","Higher education institution (tertiary level)","TAMPERE","Pirkanmaa","Finland","KA203","Strategic Partnerships for higher education",2020,"DIGITAL CLIMATE CHANGE CURRICULUM FOR ARCHITECTURAL EDUCATION: METHODS TOWARDS CARBON NEUTRALITY","ARCH4CHANGE",36,"Follow-up",01.09.20,31.08.23,296615,"TOPIC-23,TOPIC-13","New innovative curricula/educational methods/development of training courses,Environment and climate change"
"2020-1-FI01-KA203-066652","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066652","APP","TURUN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","TURKU","Varsinais-Suomi","Finland","KA203","Strategic Partnerships for higher education",2020,"Multiform Pedagogy in Arts, Health and Wellbeing Education","ARTHEWE",36,"Follow-up",01.09.20,31.08.23,392123,"TOPIC-4,TOPIC-16,TOPIC-23","Creativity and culture,Health and wellbeing,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA203-066670","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA203-066670","APP","OULUN YLIOPISTO","Higher education institution (tertiary level)","OULU","Pohjois-Pohjanmaa","Finland","KA203","Strategic Partnerships for higher education",2020,"Designing solutions entrepreneurially via online language and communication training in the STEAM disciplines","EntreSTEAM",24,"Follow-up",01.09.20,31.08.22,199548,"TOPIC-19,TOPIC-41,TOPIC-35","Intercultural/intergenerational education and (lifelong)learning,Entrepreneurial learning - entrepreneurship education,Teaching and learning of foreign languages"
"2020-1-FI01-KA204-066469","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066469","APP","AAR SOCIAL DEVELOPMENT ASSOCIATION(ASDA) RY","Non-governmental organisation/association","HELSINKI","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2020,"Second Generation of European Migrants","2GEM",24,"Follow-up",01.11.20,31.10.22,249683,"TOPIC-18,TOPIC-55,TOPIC-23","Inclusion - equity,Integration of refugees,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA204-066474","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066474","APP","Sivistysliitto Kansalaisfoorumi SKAF ry.","School/Institute/Educational centre – Adult education","Vantaa","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2020,"Education as a Constructor of Social and Cultural Sustainability for the 21st century","Sus21",24,"Follow-up",01.09.20,31.08.22,227943,"TOPIC-9,TOPIC-23,TOPIC-15","Social dialogue,New innovative curricula/educational methods/development of training courses,Gender equality / equal opportunities"
"2020-1-FI01-KA204-066560","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066560","APP","Vihreä Sivistysliitto Ry","School/Institute/Educational centre – Adult education","Helsinki","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2020,"Lessons from Less Heard","LfLH",20,"Follow-up",01.10.20,31.05.22,73316,"TOPIC-18,TOPIC-55,TOPIC-33","Inclusion - equity,Integration of refugees,Romas and/or other minorities"
"2020-1-FI01-KA204-066618","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066618","APP","Sosiaalipedagogiikan säätiö","Foundation","Helsinki","Helsinki-Uusimaa","Finland","KA204","Strategic Partnerships for adult education",2020,"Trust the experience, not the dealer","TEx",34,"Contract Signing",01.10.20,31.07.23,240515,"TOPIC-36,TOPIC-18,TOPIC-9","Recognition, transparency, certification,Inclusion - equity,Social dialogue"
"2020-1-FI01-KA204-066622","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066622","APP","Iisalmen kaupunki","School/Institute/Educational centre – Adult education","IISALMI","Pohjois-Savo","Finland","KA204","Strategic Partnerships for adult education",2020,"Adult Amateur Orchestra ""GIFt""",,18,"Follow-up",01.10.20,31.03.22,55984,"TOPIC-23,TOPIC-19,TOPIC-4","New innovative curricula/educational methods/development of training courses,Intercultural/intergenerational education and (lifelong)learning,Creativity and culture"
"2020-1-FI01-KA204-066633","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066633","APP","Aikuiskoulutus Taitaja","School/Institute/Educational centre – Vocational Training (secondary level)","Kouvola","Kymenlaakso","Finland","KA204","Strategic Partnerships for adult education",2020,"Healthier integration of micro-entrepreneurs via support of Mentoring","i-Mentor",28,"Contract Signing",01.12.20,31.03.23,304475,"TOPIC-39,TOPIC-12,TOPIC-15","Open and distance learning,Enterprise, industry and SMEs (incl. entrepreneurship),Gender equality / equal opportunities"
"2020-1-FI01-KA204-066636","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066636","APP","Pirkanmaan muotoilu- ja taideteollisuusyhdistys Modus ry","Non-governmental organisation/association","Tampere","Pirkanmaa","Finland","KA204","Strategic Partnerships for adult education",2020,"DigiMentor - digital promotion and protection skills for Creative and Tradition industries","ProPro",34,"Follow-up",01.11.20,31.08.23,253511,"TOPIC-4,TOPIC-3,TOPIC-23","Creativity and culture,ICT - new technologies - digital competences,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA204-066646","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066646","APP","INNOVENTUM OY","Small and medium sized enterprise","JOENSUU","Pohjois-Karjala","Finland","KA204","Strategic Partnerships for adult education",2020,"See What I Mean - a Visual Dictionary Project","SWIM",24,"Follow-up",01.09.20,31.08.22,205221,"TOPIC-21,TOPIC-23,TOPIC-35","Key Competences (incl. mathematics and literacy) - basic skills,New innovative curricula/educational methods/development of training courses,Teaching and learning of foreign languages"
"2020-1-FI01-KA204-066655","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066655","APP","HAMEEN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","HAMEENLINNA",,"Finland","KA204","Strategic Partnerships for adult education",2020,"Innovative Training Solutions for Learning at Work in Disruptive Industries","ITS Learning",24,"Contract Signing",01.10.20,30.09.22,273880,"TOPIC-3,TOPIC-72,TOPIC-23","ICT - new technologies - digital competences,Cooperation between educational institutions and business,New innovative curricula/educational methods/development of training courses"
"2020-1-FI01-KA204-066661","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA204-066661","APP","KAAKKOIS-SUOMEN AMMATTIKORKEAKOULU OY","Higher education institution (tertiary level)","MIKKELI",,"Finland","KA204","Strategic Partnerships for adult education",2020,"Innovating the transition process from STEM to STEAM approach in science, teaching and training","STEAM PROCESS",26,"Contract Signing",01.09.20,31.10.22,226052,"TOPIC-24,TOPIC-4,TOPIC-3","Overcoming skills mismatches (basic/transversal),Creativity and culture,ICT - new technologies - digital competences"
"2020-1-FI01-KA205-066000","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA205-066000","APP","NORDISK SAMORGANISATION FOR UNGDOMSARBETE RF","Non-governmental organisation/association","DRAGSFJARD",,"Finland","KA205","Strategic Partnerships for youth",2020,"Board Boost","BB",15,"Follow-up",15.06.20,14.09.21,55125,"TOPIC-69,TOPIC-38,TOPIC-27","Civic engagement / responsible citizenship,Youth (Participation, Youth Work, Youth Policy),Quality Assurance"
"2020-1-FI01-KA205-066020","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA205-066020","APP","YAD Youth Against Drugs ry","Non-governmental organisation/association","Jyväskylä","Keski-Suomi","Finland","KA205","Strategic Partnerships for youth",2020,"Vital Information for Drugs Awareness - VIDA - Using interactive infographics to raise drugs awareness","VIDA",24,"Follow-up",01.06.20,31.05.22,187408,"TOPIC-16,TOPIC-38","Health and wellbeing,Youth (Participation, Youth Work, Youth Policy)"
"2020-1-FI01-KA205-066240","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2020-1-FI01-KA205-066240","APP","Nuorten Ystävät ry","Non-governmental organisation/association","Oulu","Pohjois-Pohjanmaa","Finland","KA205","Strategic Partnerships for youth",2020,"All Inclusive - Overcoming Barriers to Participation",,26,"Follow-up",01.09.20,31.10.22,136532,"TOPIC-6,TOPIC-5,TOPIC-18","Access for disadvantaged,Disabilities - special needs,Inclusion - equity"
"2019-1-FI01-KA201-060721","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA201-060721","APP","Rajalan koulu","School/Institute/Educational centre – General education (primary level)","Kuopio","Pohjois-Savo","Finland","KA201","Strategic Partnerships for school education",2019,"Global Environmental Awareness and Responsibility (GEAR) - a Toolkit for Inclusive Environmental Education","GEAR",28,"Follow-up",01.09.19,31.12.21,138603,"TOPIC-13,TOPIC-73,TOPIC-23","Environment and climate change,Social/environmental responsibility of educational institutions,New innovative curricula/educational methods/development of training courses"
"2019-1-FI01-KA201-060724","https://ec.europa.eu/programmes/erasmus-plus/projects/eplus-project-details/#project/2019-1-FI01-KA201-060724","APP","ITA-SUOMEN YLIOPISTO","Higher education institution (tertiary level)","KUOPIO","Pohjois-Savo","Finland","KA201","Strategic Partnerships for school education",2019,"Family-based Open Science Schooling – capacity and guidance building in secondary schools for involving young students’ families in open science schooling activities to foster responsible science education","Family-based open science schooling",28,"Follow-up",31.12.19,29.04.22,268883,"TOPIC-25,TOPIC-21","Pedagogy and didactics,Key Competences (incl. mathematics and literacy) - basic skills"
